Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
PC O-34:3(PC)	662803.8042	1482513.1625	2071363.6674	1681375.1918	2431484.5369	1776898.3447	393351.7937	198224.0257	551948.9997	1313365.1431	2454449.8423	1116689.2745	2092188.1812	2023505.3802	1998169.5674	905422.6783	671557.1085	812905.6153	15536.4497
PC O-34:2(PC)	7495793.6377	16425557.1829	23551953.2541	15174440.0963	22269632.8675	16331258.3317	3253804.8954	1924484.5791	4680999.3176	11734875.855	21228109.0943	9695995.0178	18232217.316	17120158.8001	16237773.1216	8087267.2157	6119127.2491	7028133.6495	50644.105
PC O-34:1(PC)	39347777.3123	80632385.1023	116212181.2486	52481605.0049	74606958.5604	55791430.0412	14475154.4528	8086651.1325	21268894.8577	47333467.2668	81169576.732	37771192.9454	62287007.3964	57935815.8403	53096551.3756	33381937.0656	25253111.0971	27982953.7883	86024.5887
PC O-34:0(PC)	6185906.8267	12594347.871	17498711.7489	11970281.4778	16238021.4826	12672361.1498	2891704.4948	1754539.1346	4531974.1158	8508912.1549	15087775.5827	7192706.2985	14451580.2912	14911882.0889	12701387.3698	7067729.2097	5143090.7087	5789465.5387	28500.5527
PC 34:3(PC)	2414469.8343	5183679.6836	7336735.422	2687766.0269	3976553.2077	3173355.2121	2040214.8698	1071053.0938	2759348.336	7753322.9045	13544170.484	6578007.1027	3605762.8954	3454539.3974	3335930.7633	4605623.4656	3328006.9205	3966033.8529	27854.2034
PC 34:2(PC)	40961030.1168	85981157.5965	119158415.5054	53637693.3647	80640788.2235	61111720.4889	25245058.0723	13638598.8094	36758266.3147	94136995.219	164202398.3688	81315111.3204	69130956.5089	62389794.1573	58715187.5802	57946316.353	43809781.1188	50401062.4592	82738.6405
PC 34:1(PC)	211578113.2331	435905854.3596	614853099.7814	180675149.4225	259955137.8903	192971398.5107	131395125.9777	74630317.2492	187822822.7085	385784960.2564	664995275.6319	322712932.3333	246687856.3067	228688857.5706	208810775.3235	278870800.022	211751903.2541	238343599.2944	879889.9473
PC 34:0(PC)	8305476.8663	14252798.9372	20025196.5072	7472930.5042	10737349.7349	8308848.7793	7436846.7431	5497738.1788	12393905.9859	20002360.4325	29655289.0661	17458547.156	12083900.2436	12046588.6096	10581265.4006	10918991.008	7987736.0512	9309211.823	121156.6848
PC O-36:6(PC)	663030.0999	1157056.0907	1891715.3213	691048.0574	1101163.6488	868359.0067	301194.172	186515.5693	511771.1201	1092320.4358	1639798.5617	784967.37	969034.7939	971943.9707	807511.8853	657437.2958	465353.3162	615426.6571	22910.047
PC O-36:5(PC)	477215.1528	1021266.9214	1434978.4711	1770727.0905	2375651.1128	1697005.898	536817.315	333445.3282	802597.4574	1288468.2187	2320317.8897	1091811.4006	2626584.6357	2471600.2674	2362967.3741	1089702.359	911417.0142	1044260.7359	19649.8487
PC O-36:4(PC)	2562948.0825	5472855.9718	7661421.7368	5813987.1318	8242400.5019	5535195.6199	1625000.7449	994433.523	2547163.6169	4334619.8861	7994046.4085	3529393.6945	8074837.5987	7064187.5317	6672174.6419	3745798.2785	2903165.3618	3227683.8221	13553.1993
PC O-36:3(PC)	2516611.6681	5415124.9557	7922681.2235	4092565.0845	6396582.5129	4779183.9041	1163590.0803	677249.2327	1802249.2877	4526141.9349	8668833.2525	4033679.8004	5642282.5717	5284996.6812	4902772.3916	3272152.7989	2441161.0682	2590755.3316	18526.1332
PC O-36:2(PC)	10323242.4754	21134484.3465	30833148.6588	12748233.1437	19405919.7216	14015701.8371	4596828.6542	2437621.6397	6319703.2672	15072790.7279	25909468.9651	12940597.4218	16454722.9538	15240717.8363	14039706.2339	10138739.1156	7875526.3842	8431123.7222	36311.071
PC O-36:1(PC)	10883303.1838	21026901.4571	30378871.5767	9508433.6188	14235422.7048	10700234.9384	4740255.2538	2642608.6508	6719308.206	13291176.8656	22197042.5775	10825770.2617	13563134.3182	11921303.3259	11393170.1963	11071360.437	8129733.2884	9504138.5106	151256.9774
PC O-36:0(PC)	1854993.1277	3038655.8338	4394728.9918	1791006.3298	2752378.816	2053084.4638	911931.8716	594542.8431	1539205.0572	2852642.6507	4651702.8893	2466482.1593	2633988.5146	2342118.4934	2037415.7544	1530596.4564	1132786.0339	1204031.0122	17240.3923
PC 36:6(PC)	529381.5624	710764.9527	1059896.6677	750995.6293	1023747.288	711432.2142	279475.6877	226967.9651	537148.3492	808152.0863	1539656.1526	650304.3071	882734.8338	752173.5234	863726.852	675750.6302	499724.9316	558646.4024	100013.6001
