Sample Name	Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Group	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1	Group 1
PE 34:1(PE)	25127786.4105	52813426.1606	72893987.799	47758206.7925	67277920.9824	49776437.714	9284484.5897	6585800.183	11080321.6368	27925922.9272	53363795.7595	26206807.433	55906222.3857	49296233.7588	42937057.1262	18093228.6007	12029057.535	17605762.8052	229194.8093
PE O-36:6(PE)	300739.4906	333407.482	360439.546	335319.6341	492090.7196	238223.2036	121652.3439	75901.6201	145287.7581	180879.0576	399864.8451	293938.7481	532338.717	427051.1655	419052.3064	196593.7458	221691.2674	277229.7231	60016.0192
PE O-36:5(PE)	1157498.06	2522789.6391	3731512.113	2026052.0039	2589170.2128	1662722.677	1108215.4174	843209.5195	1291478.3194	2547616.4545	5460984.2442	2297595.3368	2679777.6792	2359988.521	2127790.4447	2326848.9917	1712789.3072	2551285.0286	59142.7907
PE O-36:4(PE)	555865.3209	854520.1715	1177293.4406	563129.0895	819011.4978	568131.197	216826.9477	193730.4245	313407.8594	755554.2008	1712646.4163	796110.1061	951765.6229	736446.4125	691165.0842	669977.271	536722.3892	745962.0057	36644.955
PE O-36:3(PE)	672324.3448	1160652.8021	1883479.2536	1124703.1258	1443539.3939	1050346.4509	231698.7548	233900.3891	339308.076	858192.7517	1890494.7032	864264.3958	1430107.932	1276527.3708	1216942.1791	693977.4588	489416.7888	773701.8729	54145.7771
PE O-36:2(PE)	1542880.5647	2916187.2351	4015633.5456	2772248.0922	3927985.0927	2894657.2036	588970.8248	514200.6514	771650.1222	1873258.4144	3520324.4475	1699334.6447	3547171.4428	3199339.5702	2946495.0732	1337997.3793	874485.384	1285384.4919	103354.8024
PE O-36:1(PE)	2263708.5761	4349420.9829	5852229.1267	3375520.4851	4761734.0276	3513554.799	973480.6941	679143.6227	1019023.4237	2398273.9678	3930205.6248	2105170.2611	4316117.1432	3769158.9061	3534027.4302	1880812.8763	1234598.5223	1670747.8632	111311.8829
PE 36:5(PE)	493613.7112	807710.0252	1124161.9433	1441410.1892	2081748.9581	1356216.6478	363107.0438	203374.1138	368211.1653	747248.6775	1649426.5408	663722.9901	1952250	1704756.5324	1675301.3611	537214.5429	387364.169	488147.8991	27398.6459
PE 36:4(PE)	2354364.4438	4231951.4241	6512542.9073	8203575.1773	11922924.5196	8874897.2858	1806837.9744	1406882.0821	2221022.7559	4285387.9595	7920535.5384	3781081.3939	10953200.3562	9701850.6165	8649269.7912	2796039.8111	1807936.6069	2701192.1134	41256.7466
PE 36:3(PE)	2441552.1881	4801231.4785	6546342.6981	5545828.6559	8120141.7528	6001053.2994	1084853.9067	756718.5375	1303796.275	3791898.3834	7644307.2187	3584716.7821	7525119.4656	6629448.053	5999236.551	2268114.657	1567434.5877	2229919.9208	62323.1805
