C:\LipidView Data\LV Results\220712_XtrIL_ExampleData_04_PS_Controls_deisotope_TM.txt	Peak Intensities
Sample Name						Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	Sample 15	Sample 16	Sample 17	Sample 18	Kon A
Sample ID	PIS m/z	Polarity	View Type	LipidName	(ScanName)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
836.6	185.00	Positive	Confirmed and Common Results	PS 40:6	(-PS)	1459625	2685778.6435	4098148.0967	978516.2841	1613115.2539	927835.9518	1886017.6263	778543.1614	2444462.1006	2993078.652	5796215.4871	2318205.1907	1073391.6156	1218501.0666	1198557.2286	3191651.4378	2001080.8911	2864810.1152	35405.5363
838.6	185.00	Positive	Confirmed and Common Results	PS 40:5	(-PS)	1709289.0946	2895631.6167	4702694.6207	882798.9918	1384994.552	772405.7973	2074261.4039	889787.1306	2624105.7953	3540747.0341	6175899.5714	2469349.2787	834062.6857	925240.1726	931331.2289	3235089.37	2026806.0828	2747617.2335	31944.6315
840.6	185.00	Positive	Confirmed and Common Results	PS 40:4	(-PS)	1380287.3671	2275339.1208	3853265.927	357616.2491	539107.4319	347502.8772	1291717.471	571231.2645	1642498.8487	2623740.9902	4889913.6087	2062573.1599	417526.3896	397588.1765	424996.3969	2122132.8317	1410692.752	1871830.8638	0
842.6	185.00	Positive	Confirmed and Common Results	PS 40:3	(-PS)	543361.9668	866722.2247	1377322.1539	133605.2212	246773.4446	209184.5161	249661.372	143109.8205	384653.0915	1266470.8894	2321053.2905	1051949.4795	176918.4821	139820.3167	154549.5305	758472.2078	537732.4644	735129.7269	46931.0009
846.7	185.00	Positive	Confirmed and Common Results	PS 40:1	(-PS)	347497.8857	363191.6134	1134439.9744	196332.818	530122.9217	357038.7881	82114.2539	38576.6481	306878.7854	488355.677	733065.874	476617.4339	252616.992	336861.8776	373760.582	98593.9221	206424.1152	257478.5968	31337.677
856.6	185.00	Positive	Confirmed and Common Results	PS O-42:3	(-PS)	85201.936	51587.6071	85145.3679	0	0	76374.8175	55295.4018	0	73303.2508	63182.9863	52278.5662	82737.0784	63921.1637	52557.2734	65102.185	45677.0394	75275.9405	73270.3401	0
858.6	185.00	Positive	Confirmed and Common Results	PS O-42:2	(-PS)	171019.9598	107613.3203	143638.3448	92735.5513	234375	171750	80750.2814	72750	99705.2426	109553.7086	168120.8742	128093.7919	99234.896	114918.9377	147125	85535.3839	83418.9592	105092.5992	36573.1594
860.6	185.00	Positive	Confirmed and Common Results	PS O-42:1	(-PS)	72016.2603	104689.2684	94691.5622	69151.6429	101426.9862	49903.3241	61371.402	31470.1249	70170.005	82876.2772	96379.4338	89127.5591	49694.1656	67914.8126	69938.2414	53651.2683	37722.5924	63466.7095	5350.7403
862.6	185.00	Positive	Confirmed and Common Results	PS O-42:0	(-PS)	82694.0837	64276.8813	145765.9619	41907.4664	76297.1209	72942.7171	47891.0444	51872.5507	67644.0483	65688.441	149801.5053	95391.5862	52246.0818	36533.9899	98177.571	94680.4197	73371.7872	80395.5458	41269.5266
864.6	185.00	Positive	Confirmed and Common Results	PS 42:6	(-PS)	152768.2839	161024.4183	265586.556	103691.0616	120118.5482	89594.7461	115382.4922	71550.9147	135566.9353	119248.0745	231072.2989	112929.6088	95907.8229	83979.0505	70788.9955	183635.4223	85889.0212	88698.8599	54462.6193
866.6	185.00	Positive	Confirmed and Common Results	PS 42:5	(-PS)	125538.0825	146057.7871	275949.9607	45800.8946	0	77149.5492	128787.8125	86028.735	112229.677	152040.2105	264296.5605	207500	125410.7516	0	0	131154.7576	126936.6564	182125	0
868.6	185.00	Positive	Confirmed and Common Results	PS 42:4	(-PS)	243250	118341.8471	194229.1939	0	42946.5446	104000	91016.6454	73788.5956	90507.39	153960.8342	247076.5378	164547.1359	40847.5029	59591.5887	38591.8835	121281.4815	133681.1707	136642.2305	0
872.7	185.00	Positive	Confirmed and Common Results	PS 42:2	(-PS)	379334.084	516181.2908	945787.9352	197416.3906	256341.8106	226914.0637	175888.6839	86060.4932	195636.197	492764.531	839168.8447	531237.7636	187229.5629	147736.7744	159344.8492	338531.7945	227687.0854	246564.033	24509.1725
874.7	185.00	Positive	Confirmed and Common Results	PS 42:1	(-PS)	302702.8047	426203.0911	766332.2282	111142.3195	202579.9509	155953.9969	205403.7493	108481.5211	220440.5751	351781.3345	540572.764	344654.6878	115703.2651	138449.9008	118254.1072	249772.0155	203616.8885	192100.259	63118.666
